Resource Type,Resource Label,Resource Id,Resource Status,Disabled Reason,,
DOCK_DOOR,DD111,00bb2299-6378-1e9b-65d1-3a9483de0feb,ENABLED,NONE,,
DOCK_DOOR,DD108,02bb25ca-9c23-83c2-5a5f-c907013122ab,ENABLED,NONE,,
DOCK_DOOR,DD105,5abb3185-5bbb-cd7c-ce7d-77b3514cf947,ENABLED,NONE,,
DOCK_DOOR,DD112,5abe64e5-e13d-dce3-b9e1-89f53a330f3c,ENABLED,NONE,,
DOCK_DOOR,DD114,98bb571d-e70c-4a5b-55ed-043cb7520202,ENABLED,NONE,,
DOCK_DOOR,DD115,b0bb3185-5b5f-2db5-8791-e6c6d88371a7,ENABLED,NONE,,
DOCK_DOOR,DD107,e4bb2650-f0b5-8a8e-a117-d94ad73769c1,ENABLED,NONE,,
DOCK_DOOR,DD109,eebb2327-5e0e-dd2b-0039-5427e1607f5f,ENABLED,NONE,,
DOCK_DOOR,DD110,f0bb2312-731b-3259-b8ca-f0e3606c0045,ENABLED,NONE,,
DOCK_DOOR,DD106,f6bb2898-d63a-9cf4-c4bd-042038636e70,ENABLED,NONE,,
YARD,DJZ3_YARD,50bb2299-6357-57ab-5319-501c7e40799d,ENABLED,NONE,,
STAGING_AREA,STG.S47,00ba5ae7-4203-84ff-b4b6-f35bd94967f2,ENABLED,NONE,,
STAGING_AREA,STG.I39,00ba5ae7-4b8d-1f62-9bab-b6b3265be878,ENABLED,NONE,,
STAGING_AREA,STG.N78,00ba5ae7-50a6-77d1-6a0b-a021ab09db25,ENABLED,NONE,,
STAGING_AREA,STG.L18,00ba5ae7-5152-535f-ba6a-069e7f1f9592,ENABLED,NONE,,
STAGING_AREA,STG.B02,00ba5ae7-5885-20de-059a-18ca3a7a1745,ENABLED,NONE,,
STAGING_AREA,STG.Q65,00ba5ae7-58b6-0255-a6ed-aa2f49e3a681,ENABLED,NONE,,
STAGING_AREA,STG.G24,00ba5ae7-596f-8fcb-2bea-a5a05c807bdd,ENABLED,NONE,,
STAGING_AREA,STG.O11,00ba5ae7-5a80-65ad-be55-14122649c961,ENABLED,NONE,,
STAGING_AREA,STG.L57,00ba5ae7-5cdc-0f3c-e21d-3a3fdc74874f,ENABLED,NONE,,
STAGING_AREA,STG.L64,00ba5ae7-5ef0-553b-d1b6-6356931228d8,ENABLED,NONE,,
STAGING_AREA,STG.R16,00ba5ae7-6803-e156-7706-8dd43e3de380,ENABLED,NONE,,
STAGING_AREA,STG.G85,00ba5ae7-6b8a-ecf5-3d7d-37be5b0c0e3d,ENABLED,NONE,,
STAGING_AREA,STG.T87,00ba5ae7-6c04-fd39-a75b-27061df5315e,ENABLED,NONE,,
STAGING_AREA,STG.E34,00ba5ae7-6d78-224d-3991-93be9f00262e,ENABLED,NONE,,
STAGING_AREA,STG.E37,00ba5ae7-6e52-6edf-b314-51783d5dc134,ENABLED,NONE,,
STAGING_AREA,STG.K11,00ba5ae7-7eda-05eb-9f15-6e60bf57cb48,ENABLED,NONE,,
STAGING_AREA,STG.P34,00ba5ae7-7ef4-3438-95a3-b0355b605936,ENABLED,NONE,,
STAGING_AREA,STG.M71,00ba5ae7-7f48-bc55-aa3d-c26c280da4d3,ENABLED,NONE,,
STAGING_AREA,STG.R93,00ba5ae7-7fc0-e3cb-2ccb-1ee01575a4b9,ENABLED,NONE,,
STAGING_AREA,STG.E99,00ba5ae7-8175-a63a-69cc-c8ace6f16476,ENABLED,NONE,,
STAGING_AREA,SC_REPLAN_STAGING,00c4c467-4cea-8f7e-1fed-f3accf1c94bc,ENABLED,NONE,,
STAGING_AREA,STG.H87,02ba5ae7-3c0b-9604-338d-384bdda0e6e4,ENABLED,NONE,,
STAGING_AREA,STG.X47,02ba5ae7-3c17-d969-0721-86e1c86a1bf3,ENABLED,NONE,,
STAGING_AREA,STG.F53,02ba5ae7-4422-8f92-89fb-c13ba689d4ca,ENABLED,NONE,,
STAGING_AREA,STG.V30,02ba5ae7-48d5-e95a-ac2b-582e297d336b,ENABLED,NONE,,
STAGING_AREA,STG.Y25,02ba5ae7-53de-d32d-aec3-8a5725814cb6,ENABLED,NONE,,
STAGING_AREA,STG.I88,02ba5ae7-5a04-0316-a788-7c0ee37c8c41,ENABLED,NONE,,
STAGING_AREA,STG.D82,02ba5ae7-5e3e-e815-47b8-c665da912a1b,ENABLED,NONE,,
STAGING_AREA,STG.T42,02ba5ae7-5e88-d03e-2f4d-f6967d063de5,ENABLED,NONE,,
STAGING_AREA,STG.Q98,02ba5ae7-62ef-e007-86a1-1e3268db5155,ENABLED,NONE,,
STAGING_AREA,STG.L79,02ba5ae7-6354-a296-eedd-2ef2411e100b,ENABLED,NONE,,
STAGING_AREA,STG.R04,02ba5ae7-647b-9e78-d86f-5d328b43302e,ENABLED,NONE,,
STAGING_AREA,STG.R09,02ba5ae7-65ca-0aff-e057-f8abac6a5f85,ENABLED,NONE,,
STAGING_AREA,STG.J30,02ba5ae7-6621-f2a1-64fe-0c83c0e62dcf,ENABLED,NONE,,
STAGING_AREA,STG.L90,02ba5ae7-66bf-b2a6-dd85-204b202c73b4,ENABLED,NONE,,
STAGING_AREA,STG.T91,02ba5ae7-6d2e-f477-ca61-5b8802ba5942,ENABLED,NONE,,
STAGING_AREA,STG.R43,02ba5ae7-703f-01db-b3ea-e18bc9d8d744,ENABLED,NONE,,
STAGING_AREA,STG.E44,02ba5ae7-707c-f291-8485-729aa8cedf46,ENABLED,NONE,,
STAGING_AREA,STG.B92,02ba5ae7-7318-3c7f-dd94-323be4f4f55c,ENABLED,NONE,,
STAGING_AREA,STG.K10,02ba5ae7-7e8f-b1a6-4e42-72998c950d82,ENABLED,NONE,,
STAGING_AREA,STG.Z77,02ba5ae7-81ae-323d-bc87-01158b213c5e,ENABLED,NONE,,
STAGING_AREA,STG.P68,04ba5ae7-3c0f-323d-725a-a6cd44176a9d,ENABLED,NONE,,
STAGING_AREA,STG.U87,04ba5ae7-3c17-de66-9841-6cf5736a4af3,ENABLED,NONE,,
STAGING_AREA,STG.D01,04ba5ae7-4602-244b-dd40-12a30158f81d,ENABLED,NONE,,
STAGING_AREA,STG.S60,04ba5ae7-4635-839f-0918-4df1a0c31d2a,ENABLED,NONE,,
STAGING_AREA,STG.I47,04ba5ae7-4df8-f6c2-1990-c4c973b7384d,ENABLED,NONE,,
STAGING_AREA,STG.L20,04ba5ae7-5202-4995-ac80-9d5fac227c8b,ENABLED,NONE,,
STAGING_AREA,STG.V65,04ba5ae7-5375-578b-ec53-4609822e5fee,ENABLED,NONE,,
